Site_ID	Latitude	Longitude	Power Type	Location	1st Escalation Team Name	Hajj MC	MC_Latitude	MC_Longititude
CWN960	21.347135	39.992573	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN072	21.34196	39.97602	SB	Arafat	Muath 	CWN072	21.34196	39.97602
CWH318	21.3813332	39.9025838	SB	Muzdalifah	Akhttar	CWN062	21.3818	39.89885
CWN922	21.404058	39.916064	SB	Muzdalifah	Nasser	CWN066	21.3905912	39.9199632
CWN970	21.409075	39.905872	SG	Mina	Nasser	CWN066	21.3905912	39.9199632
CWN992	21.389249	39.906895	SB	Muzdalifah	Younis	CWN089	21.384184	39.910808
CWN021	21.3934192	39.9166466	SB	Muzdalifah	Nasser	CWN066	21.3905912	39.9199632
CWN997	21.38314	39.904478	SB	Muzdalifah	Akhttar	CWN062	21.3818	39.89885
CWN008	21.3513851	39.9812917	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN906	21.37625	39.98233	SB	Arafat	Mohammed Emad	CWN073	21.3738433	39.9865483
CWN213	21.3645	39.9082	SB	Muzdalifah	Umair	Makkah MC	20.99354	39.58815
CWN074	21.388397	39.90236	SB	Muzdalifah	Akhttar	CWN062	21.3818	39.89885
CWN068	21.39217	39.91244	SB	Muzdalifah	Younis	CWN089	21.384184	39.910808
CWN212	21.366124	39.984126	SB	Arafat	Abid	CWN076	21.3692	39.977127
CWN300	21.386604	39.897081	SB	Muzdalifah	Akhttar	CWN062	21.3818	39.89885
CWN214	21.39194	39.903738	SB	Muzdalifah	Younis	CWN089	21.384184	39.910808
CWN073	21.3738433	39.9865483	SB	Arafat	Mohammed Emad	CWN073	21.3738433	39.9865483
CWN996	21.374231	39.980616	SG	Arafat	Mohammed Emad	CWN073	21.3738433	39.9865483
CWN923	21.361257	39.973944	SG	Arafat	Abid	CWN076	21.3692	39.977127
CWN002	21.42045	39.87142	SB	Mina	Umair	Makkah MC	20.99354	39.58815
CWN998	21.647214	40.389186	SG	Makkah Remote	Tasleem	Taif MC	21.647214	40.389186
CWN203	21.354658	39.986218	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN961	21.398381	39.89731	SB	Mina	Umair	Makkah MC	20.99354	39.58815
CWN066	21.3905912	39.9199632	SB	Muzdalifah	Nasser	CWN066	21.3905912	39.9199632
CWN777	21.395908	39.899677	SG	Mina	Younis	CWN089	21.384184	39.910808
CWN105	21.356535	39.984813	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN984	21.348754	39.995701	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN967	21.631015	40.427249	SG	Makkah Remote	Tasleem	Taif MC	21.647214	40.389186
CWN020	21.35047	39.96813	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN004	21.387678	39.896187	SB	Muzdalifah	Akhttar	CWN062	21.3818	39.89885
CWN211	21.386633	39.911309	SB	Muzdalifah	Younis	CWN089	21.384184	39.910808
CWN050	21.38536	40.00519	SG	Arafat	Nadeem	CWN092	21.333244	39.971526
CWN084	21.342528	39.962167	SB	Arafat	Muath 	CWN072	21.34196	39.97602
CWN301	21.386942	39.89955	SB	Muzdalifah	Akhttar	CWN062	21.3818	39.89885
CWN201	21.4206848	39.8809927	SB	Mina	Faroq	CWN978	21.421776	39.891894
CWN208	21.402445	39.916322	SG	Muzdalifah	Nasser	CWN066	21.3905912	39.9199632
CWN001	21.33728	39.957769	SB	Arafat	Nadeem	CWN092	21.333244	39.971526
CWN080	21.378152	39.990098	SG	Arafat	Nadeem	CWN092	21.333244	39.971526
CWN078	21.34051	39.99548	SB	Arafat	Muath 	CWN072	21.34196	39.97602
CWN075	21.346996	39.957369	SB	Arafat	Muath 	CWN072	21.34196	39.97602
CWN087	21.35694	39.97782	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN085	21.36681	39.96439	SB	Arafat	Abid	CWN076	21.3692	39.977127
CWN089	21.384184	39.910808	SB	Muzdalifah	Younis	CWN089	21.384184	39.910808
CWN076	21.3692	39.977127	SB	Arafat	Abid	CWN076	21.3692	39.977127
CWN955	21.389818	39.897434	SB	Muzdalifah	Akhttar	CWN062	21.3818	39.89885
CWN081	20.99354	39.58815	SG	Makkah Remote	Umair	Makkah MC	20.99354	39.58815
CWN083	21.331372	39.965547	SG	Arafat	Nadeem	CWN092	21.333244	39.971526
CWN108	21.34916	39.98367	SB	Arafat	Arif	CWN108	21.34916	39.98367
CWN036	21.37989	39.944133	SB	Arafat	Nasser	CWN066	21.3905912	39.9199632
